標題,連結,發佈日期,分類,圖片連結,提到的信用卡,標題數量,段落數量,列表項數量,表格數量,表格檔案,內容檔案
2025 所得稅退稅時間》所得稅退稅查詢、資格一次看！,https://roo.cash/blog/income-tax-refund/,2025-03-13,"ROO 時事快訊, 報稅攻略",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2023/03/26002648/%E6%89%80%E5%BE%97%E7%A8%85%E9%80%80%E7%A8%85.png,"持永豐幣倍信用卡, 核信用卡, 元刷信用卡, 本月精選信用信用卡, 於核信用卡, GoGo信用卡, 神信用卡, 健保信用卡, 繳稅神信用卡, 繳稅信用信用卡, 牌照稅信用卡, 房屋稅信用卡, 推薦信用信用卡, 刷信用卡, 信用信用卡, 熱門神信用卡, 生活萬用信用卡, 本月精選信用卡, 推薦信用卡, 天內完成核信用卡, 幣倍信用卡, 簽帳金融信用卡, 所得稅信用信用卡, 玫瑰信用卡, 繳稅信用卡, 匯鑽信用卡, 牌照稅信用信用卡, 所得稅信用卡, 房屋稅信用信用卡",23,40,30,7,/Users/heng/Documents/money101_cal/roocash_data/article_479_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_479_content.txt
2025 捐款抵稅試算》捐款抵稅可以抵多少？試算、申報 3 步驟！,https://roo.cash/blog/tax-donation-credit/,2025-03-13,"ROO 時事快訊, 報稅攻略",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2023/05/26005112/%E6%8D%90%E6%AC%BE%E6%8A%B5%E7%A8%85.png,"本月精選信用信用卡, 核信用卡, 元刷信用卡, 持永豐幣倍信用卡, 於核信用卡, GoGo信用卡, 神信用卡, 健保信用卡, 並使用現金回饋Green信用卡, 繳稅神信用卡, 我們也提供了所得稅信用信用卡, 繳稅信用信用卡, 聯名信用卡, 牌照稅信用卡, 房屋稅信用卡, 刷信用卡, 綁定一銀信用信用卡, 推薦信用信用卡, 信用信用卡, 熱門神信用卡, 生活萬用信用卡, 我們也提供了所得稅信用卡, 本月精選信用卡, 推薦信用卡, 天內完成核信用卡, 每人每月上限200元刷信用卡, 幣倍信用卡, 地價稅信用信用卡, 簽帳金融信用卡, 所得稅信用信用卡, 玫瑰信用卡, 綁定一銀信用卡, 地價稅信用卡, 繳稅信用卡, 匯鑽信用卡, 牌照稅信用信用卡, 所得稅信用卡, 房屋稅信用信用卡",19,30,23,8,/Users/heng/Documents/money101_cal/roocash_data/article_480_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_480_content.txt
2025 標準扣除額一覽表》最新標準扣除額調整、4 大必知重點看這裡,https://roo.cash/blog/standard-deduction-tax/,2025-03-13,"ROO 時事快訊, 報稅攻略",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2023/05/26005114/%E6%A8%99%E6%BA%96%E6%89%A3%E9%99%A4%E9%A1%8D%E6%9C%89%E5%93%AA%E4%BA%9B%EF%BC%9F.png,"持永豐幣倍信用卡, 核信用卡, 元刷信用卡, 本月精選信用信用卡, 於核信用卡, GoGo信用卡, 神信用卡, 健保信用卡, 繳稅神信用卡, 繳稅信用信用卡, 牌照稅信用卡, 房屋稅信用卡, 推薦信用信用卡, 刷信用卡, 信用信用卡, 熱門神信用卡, 生活萬用信用卡, 本月精選信用卡, 推薦信用卡, 天內完成核信用卡, 幣倍信用卡, 簽帳金融信用卡, 所得稅信用信用卡, 玫瑰信用卡, 繳稅信用卡, 匯鑽信用卡, 牌照稅信用信用卡, 所得稅信用卡, 房屋稅信用信用卡",13,25,9,6,/Users/heng/Documents/money101_cal/roocash_data/article_481_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_481_content.txt
2025 稅額試算通知書何時寄？稅額試算通知書查詢、申請攻略！,https://roo.cash/blog/tax-calculation-notice/,2025-03-13,"ROO 時事快訊, 報稅攻略",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2023/04/26002824/%E7%A8%85%E9%A1%8D%E8%A9%A6%E7%AE%97%E9%80%9A%E7%9F%A5%E6%9B%B8.png,"本月精選信用信用卡, 核信用卡, 持永豐幣倍信用卡, 元刷信用卡, 於核信用卡, GoGo信用卡, 神信用卡, 健保信用卡, 晶片金融信用卡, 繳稅信用信用卡, 刷信用卡, 推薦信用信用卡, 信用信用卡, 生活萬用信用卡, 熱門神信用卡, 本月精選信用卡, 推薦信用卡, 天內完成核信用卡, 幣倍信用卡, 玫瑰信用卡, 簽帳金融信用卡, 於課稅年度的前一年使用自然人憑證或健保信用卡, 繳稅信用卡, 匯鑽信用卡, 繳稅神信用卡",15,42,15,4,/Users/heng/Documents/money101_cal/roocash_data/article_482_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_482_content.txt
扣繳憑單下載教學》個人扣繳憑單查詢、下載流程一次看！,https://roo.cash/blog/tax-withholding-voucher-download/,2025-03-13,"ROO 時事快訊, 政策福利",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2023/01/26005102/%E6%89%A3%E7%B9%B3%E6%86%91%E5%96%AE.png,"碼預設為持信用卡, 本月精選信用信用卡, 核信用卡, 持永豐幣倍信用卡, 元刷信用卡, 於核信用卡, GoGo信用卡, 神信用卡, 健保信用卡, 繳稅神信用卡, 繳稅信用信用卡, 牌照稅信用卡, 房屋稅信用卡, 推薦信用信用卡, 刷信用卡, 信用信用卡, 熱門神信用卡, 生活萬用信用卡, 本月精選信用卡, 推薦信用卡, 天內完成核信用卡, 幣倍信用卡, 簽帳金融信用卡, 所得稅信用信用卡, 玫瑰信用卡, 自然人憑證或註冊過的健保信用卡, 繳稅信用卡, 匯鑽信用卡, 牌照稅信用信用卡, 所得稅信用卡, 房屋稅信用信用卡",15,15,11,4,/Users/heng/Documents/money101_cal/roocash_data/article_483_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_483_content.txt
2025 電動車課稅》電動車牌照稅、燃料稅怎麼算？課稅級距、計算一次看！,https://roo.cash/blog/electric-car-license-tax-fuel-tax/,2025-03-12,"ROO 時事快訊, 政策福利",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2022/08/26005111/%E9%9B%BB%E5%8B%95%E8%BB%8A%E8%AA%B2%E7%A8%85.png,"持永豐幣倍信用卡, 核信用卡, 元刷信用卡, 本月精選信用信用卡, 於核信用卡, GoGo信用卡, 神信用卡, 燃料稅信用信用卡, 繳稅信用信用卡, 刷信用卡, 推薦信用信用卡, 信用信用卡, 生活萬用信用卡, 熱門神信用卡, 本月精選信用卡, 推薦信用卡, 天內完成核信用卡, 幣倍信用卡, 玫瑰信用卡, 簽帳金融信用卡, 燃料稅信用卡, 繳稅信用卡, 匯鑽信用卡, 繳稅神信用卡",9,13,6,7,/Users/heng/Documents/money101_cal/roocash_data/article_484_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_484_content.txt
【2025 白沙屯媽祖遶境】2025 白沙屯媽祖進香 GPS 路線、日期、禁忌完整整理！,https://roo.cash/blog/baishatun-mazu-pilgrimage-article/,2025-03-11,"ROO 時事快訊, 熱門話題",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/03/26020951/Baishatun-Mazu-Pilgrimage-article.png,"本月精選信用信用卡, 本月精選信用卡, 於核信用卡, 神信用卡, 生活萬用信用卡, 天內完成核信用卡, 匯鑽信用卡, 熱門神信用卡, 繳稅神信用卡, 健保信用卡, 玫瑰信用卡",7,21,54,3,/Users/heng/Documents/money101_cal/roocash_data/article_485_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_485_content.txt
2025 全台媽祖廟推薦：八大必訪媽祖廟地址、電話、開放時間一篇看！,https://roo.cash/blog/mazu-temple-article/,2025-03-11,"ROO 時事快訊, 熱門話題",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/03/26020952/Mazu-Temple-article.png,"本月精選信用信用卡, 本月精選信用卡, 於核信用卡, 神信用卡, 生活萬用信用卡, 天內完成核信用卡, 匯鑽信用卡, 熱門神信用卡, 繳稅神信用卡, 玫瑰信用卡",10,22,34,3,/Users/heng/Documents/money101_cal/roocash_data/article_486_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_486_content.txt
2025 媽祖生日懶人包：一篇帶你看媽祖生日時間、拜拜習俗與禁忌！,https://roo.cash/blog/mazu-birthday-article/,2025-03-11,"ROO 時事快訊, 熱門話題",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/03/26020952/Mazu-Birthday-article.png,"本月精選信用信用卡, 本月精選信用卡, 於核信用卡, 神信用卡, 生活萬用信用卡, 天內完成核信用卡, 匯鑽信用卡, 熱門神信用卡, 繳稅神信用卡, 玫瑰信用卡",10,14,28,3,/Users/heng/Documents/money101_cal/roocash_data/article_487_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_487_content.txt
DWS 投信全解析：發展歷程、投資策略與熱門基金一次看！,https://roo.cash/blog/dws-article/,2025-03-10,"ROO 時事快訊, 理財知識",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/03/26020950/dws-article.png,"本月精選信用信用卡, 本月精選信用卡, 於核信用卡, 神信用卡, 生活萬用信用卡, 天內完成核信用卡, 信用信用卡, 匯鑽信用卡, 熱門神信用卡, 繳稅神信用卡, 玫瑰信用卡",15,21,27,12,/Users/heng/Documents/money101_cal/roocash_data/article_488_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_488_content.txt
富蘭克林坦伯頓投信全解析：發展歷程、投資策略與熱門基金一篇看！,https://roo.cash/blog/franklin-article/,2025-03-10,"ROO 時事快訊, 理財知識",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/03/26020949/franklin-article.png,"本月精選信用信用卡, 本月精選信用卡, 於核信用卡, 神信用卡, 生活萬用信用卡, 天內完成核信用卡, 信用信用卡, 匯鑽信用卡, 熱門神信用卡, 繳稅神信用卡, 玫瑰信用卡",15,23,27,12,/Users/heng/Documents/money101_cal/roocash_data/article_489_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_489_content.txt
宏利投信介紹：核心投資策略、旗下熱門基金與市場布局！,https://roo.cash/blog/manulifeim-article/,2025-03-10,"ROO 時事快訊, 理財知識",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/03/26020949/manulifeim-article.png,"本月精選信用信用卡, 本月精選信用卡, 於核信用卡, 神信用卡, 生活萬用信用卡, 天內完成核信用卡, 信用信用卡, 匯鑽信用卡, 熱門神信用卡, 繳稅神信用卡, 玫瑰信用卡",15,21,30,12,/Users/heng/Documents/money101_cal/roocash_data/article_490_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_490_content.txt
日本北陸自由行攻略：新潟、富山、石川、福井景點一篇搞定,https://roo.cash/blog/hokuriku-travel-article/,2025-05-25,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/25180334/Hokuriku-Travel-article.png,"日本關東中部地區熱門打信用卡, 尤其鏡面水池更是打信用卡",6,26,5,11,/Users/heng/Documents/money101_cal/roocash_data/article_491_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_491_content.txt
熊野古道全攻略：5 大路線介紹、景點推薦與朝聖行前指南！,https://roo.cash/blog/kumano-kodo-article/,2025-05-25,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/25175715/Kumano-Kodo-article.png,日本近畿地區熱門打信用卡,4,16,13,11,/Users/heng/Documents/money101_cal/roocash_data/article_492_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_492_content.txt
阿蘇自由行：大觀峰、草千里之濱、阿蘇景點一篇整理！,https://roo.cash/blog/aso-article/,2025-05-25,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/25175303/Aso-article.png,"阿蘇信用卡, 日本九州地區熱門打信用卡, 拍照打信用卡",15,24,14,11,/Users/heng/Documents/money101_cal/roocash_data/article_493_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_493_content.txt
別府一日遊全攻略：泡湯美景通通有，走進日本九州的溫泉天堂！,https://roo.cash/blog/beppu-article/,2025-05-25,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/25175034/Beppu-article.png,"是攝影愛好者的打信用卡, 日本九州地區熱門打信用卡",6,24,8,11,/Users/heng/Documents/money101_cal/roocash_data/article_494_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_494_content.txt
貴船神社景點全攻略：京都山間靈地的四季風華與祈緣能量一次掌握！,https://roo.cash/blog/kibune-jinja-article/,2025-05-25,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/25173411/Kibune-Jinja-article.png,"是到此必拍的熱門打信用卡, 日本近畿地區熱門打信用卡",13,21,15,11,/Users/heng/Documents/money101_cal/roocash_data/article_495_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_495_content.txt
阿美橫丁介紹：東京上野不得錯過！最熱鬧的商店街購物、美食、交通一次看！,https://roo.cash/blog/ameyoko-article/,2025-05-25,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/25171243/Ameyoko-article.png,日本關東中部地區熱門打信用卡,6,15,17,10,/Users/heng/Documents/money101_cal/roocash_data/article_496_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_496_content.txt
四天王寺介紹：大阪最古老佛寺一次看懂！五大看點、交通攻略、必去亮點總整理,https://roo.cash/blog/shitennoji-article/,2025-05-25,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/25170117/Shitennoji-article.png,"日本近畿地區熱門打信用卡, 這座鳥居也成為四天王寺最具代表性的打信用卡",10,18,13,11,/Users/heng/Documents/money101_cal/roocash_data/article_497_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_497_content.txt
樂樂洗越式洗髮｜樂樂洗越式洗髮價格、套餐、分店一次看！,https://roo.cash/blog/viet-headspa-store-lelexi/,2025-05-23,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/23111934/viet-headspa-store-lelexi.png,無提及信用卡,7,13,10,4,/Users/heng/Documents/money101_cal/roocash_data/article_498_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_498_content.txt
紫色美人越式洗頭｜紫色美人越式洗頭價格、套餐、預約一次看！,https://roo.cash/blog/viet-headspa-store-purplebeauty/,2025-05-23,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/23104514/viet-headspa-store-purplebeauty.png,無提及信用卡,9,26,32,4,/Users/heng/Documents/money101_cal/roocash_data/article_499_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_499_content.txt
Rosa 越式洗髮｜Rosa 越式洗髮價格、套餐、分店一次看！,https://roo.cash/blog/viet-headspa-store-rosa/,2025-05-23,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/23093353/viet-headspa-store-rosa.png,無提及信用卡,13,14,33,4,/Users/heng/Documents/money101_cal/roocash_data/article_500_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_500_content.txt
高雄越式洗頭推薦｜高雄越式洗頭價格、套餐、推薦品牌一次看！,https://roo.cash/blog/kaohsiung-viet-headspa/,2025-05-22,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/22171026/kaohsiung-viet-headspa.png,無提及信用卡,10,15,28,9,/Users/heng/Documents/money101_cal/roocash_data/article_501_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_501_content.txt
新竹越式洗頭推薦｜新竹越式洗頭價格、套餐、各品牌一次看！,https://roo.cash/blog/hsinchu-viet-headspa/,2025-05-22,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/22152446/hsinchu-viet-headspa.png,無提及信用卡,8,15,21,7,/Users/heng/Documents/money101_cal/roocash_data/article_502_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_502_content.txt
中壢越式洗頭推薦｜品牌介紹、套餐方案、價格一次看！,https://roo.cash/blog/zhongli-viet-headspa/,2025-05-22,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/22143955/zhongli-viet-headspa-1.png,無提及信用卡,9,16,24,8,/Users/heng/Documents/money101_cal/roocash_data/article_503_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_503_content.txt
Vivi 越式洗頭｜越式洗頭推薦品牌、價格、分店一次看！,https://roo.cash/blog/viet-headspa-store-vivi/,2025-05-22,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/22121234/viet-headspa-store-vivi-1.png,無提及信用卡,6,13,5,4,/Users/heng/Documents/money101_cal/roocash_data/article_504_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_504_content.txt
台南越式洗頭｜越式洗頭推薦品牌、價格、分店一次看！,https://roo.cash/blog/tainan-viet-headspa/,2025-05-22,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/22122617/tainan-viet-headspa-1.png,無提及信用卡,7,15,19,7,/Users/heng/Documents/money101_cal/roocash_data/article_505_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_505_content.txt
2025 最新 Subway 菜單、點餐教學、信用卡推薦一次看,https://roo.cash/blog/subway-article/,2025-05-21,"ROO 民生消費, 美食生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2024/10/26014003/subway-article.png,"本月精選信用信用卡, 於核信用卡, 神信用卡, 星巴克儲值信用卡, 挑信用卡, 各回饋方式信用卡, 美食信用信用卡, 推薦信用信用卡, 信用信用卡, 卡於國內餐廳刷信用卡, 熱門神信用卡, 美食信用卡, 生活萬用信用卡, 各回饋方式信用信用卡, 許多銀行推出的信用信用卡, 配合銀行的信用卡, 本月精選信用卡, 美食餐飲信用信用卡, 推薦信用卡, 天內完成核信用卡, 配合銀行的信用信用卡, 持信用卡, 玫瑰信用卡, 滙豐新信用卡, 許多銀行推出的信用卡, 使用的信用信用卡, 低信用卡, 星巴克儲值信用信用卡, 使用的信用卡, 美食餐飲信用卡, 匯鑽信用卡, 現金回饋信用卡, 繳稅神信用卡",13,20,19,4,/Users/heng/Documents/money101_cal/roocash_data/article_506_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_506_content.txt
2025 四海遊龍菜單》四海遊龍菜單品項與價格資訊一次看,https://roo.cash/blog/yuloong-menu/,2025-05-21,"ROO 民生消費, 美食生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2024/05/26010612/%E5%9B%9B%E6%B5%B7%E9%81%8A%E9%BE%8D%E8%8F%9C%E5%96%AE.png,"本月精選信用信用卡, 於核信用卡, 神信用卡, 繳稅神信用卡, 推薦信用信用卡, 卡於國內餐廳刷信用卡, 生活萬用信用卡, 熱門神信用卡, 新戶信用卡, 本月精選信用卡, 美食餐飲信用信用卡, 推薦信用卡, 天內完成核信用卡, 持信用卡, 玫瑰信用卡, 美食餐飲信用卡, 匯鑽信用卡, 現金回饋信用卡, 新戶信用信用卡",11,13,8,10,/Users/heng/Documents/money101_cal/roocash_data/article_507_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_507_content.txt
2025 肯德基菜單》肯德基5月優惠活動、菜單一覽！,https://roo.cash/blog/kfc-menu/,2025-05-21,"ROO 民生消費, 美食生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2023/11/26004121/%E8%82%AF%E5%BE%B7%E5%9F%BA%E8%8F%9C%E5%96%AE.png,"本月精選信用信用卡, 於核信用卡, 神信用卡, 推薦信用信用卡, 信用信用卡, 卡於國內餐廳刷信用卡, 生活萬用信用卡, 熱門神信用卡, 本月精選信用卡, 熱義式信用卡, 美食餐飲信用信用卡, 推薦信用卡, 天內完成核信用卡, 持信用卡, 義式拿鐵咖啡和信用卡, 玫瑰信用卡, 蛋撻熟客信用卡, 美食餐飲信用卡, 匯鑽信用卡, 現金回饋信用卡, 繳稅神信用卡",16,23,36,12,/Users/heng/Documents/money101_cal/roocash_data/article_508_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_508_content.txt
2025 漢堡王菜單一次看》最完整漢堡王套餐價格、優惠資訊一次看！,https://roo.cash/blog/burger-king-menu/,2025-05-21,"ROO 民生消費, 美食生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2024/01/26004628/%E6%BC%A2%E5%A0%A1%E7%8E%8B%E8%8F%9C%E5%96%AE.png,"本月精選信用信用卡, 於核信用卡, 神信用卡, 高回饋信用信用卡, 大外送平台信用信用卡, 選對信用卡, 推薦信用信用卡, 信用信用卡, 卡於國內餐廳刷信用卡, 生活萬用信用卡, 熱門神信用卡, 本月精選信用卡, 大外送平台信用卡, 高回饋信用卡, 美食餐飲信用信用卡, 推薦信用卡, 天內完成核信用卡, 持信用卡, 玫瑰信用卡, 外送信用信用卡, 美食餐飲信用卡, 匯鑽信用卡, 現金回饋信用卡, 繳稅神信用卡, 外送信用卡",12,13,9,8,/Users/heng/Documents/money101_cal/roocash_data/article_509_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_509_content.txt
朵渼越式洗頭｜朵渼越式洗頭價格、全台分店一次看！,https://roo.cash/blog/viet-headspa-store-domei/,2025-05-21,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/21162758/viet-headspa-store-domei.png,無提及信用卡,5,11,7,4,/Users/heng/Documents/money101_cal/roocash_data/article_510_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_510_content.txt
2025 最新八方雲集菜單價格總整理！八方雲集菜單價格與新品項隨時更新看這裡！,https://roo.cash/blog/8way-menu/,2025-05-21,"ROO 民生消費, 美食生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2024/10/26014428/8way-menu.png,"本月精選信用信用卡, 元刷信用卡, 新戶信用信用卡, 於核信用卡, 神信用卡, 推薦信用信用卡, 信用信用卡, 卡於國內餐廳刷信用卡, 生活萬用信用卡, 新戶信用卡, 熱門神信用卡, 部分門市支援使用悠遊信用卡, 本月精選信用卡, 美食餐飲信用信用卡, 推薦信用卡, 天內完成核信用卡, 持信用卡, 斯里蘭信用卡, 玫瑰信用卡, 美食餐飲信用卡, 國內消費神信用卡, 現金回饋信用卡, 匯鑽信用卡, 繳稅神信用卡, 太陽信用卡",18,20,12,15,/Users/heng/Documents/money101_cal/roocash_data/article_511_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_511_content.txt
金星越式洗髮｜越式洗髮價格、時間、全台分店一次看！,https://roo.cash/blog/viet-headspa-store-venus/,2025-05-21,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/21154729/viet-headspa-store-venus.png,無提及信用卡,9,13,26,4,/Users/heng/Documents/money101_cal/roocash_data/article_512_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_512_content.txt
台中越式洗頭推薦｜評分最高、質感舒壓精選名單,https://roo.cash/blog/taichung-viet-headspa/,2025-05-21,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/21140248/taichung-viet-headspa.png,無提及信用卡,9,17,23,6,/Users/heng/Documents/money101_cal/roocash_data/article_513_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_513_content.txt
加州迪士尼樂園門票攻略》價格、地圖、必玩設施一次看！,https://roo.cash/blog/california-disneyland-tickets/,2025-05-21,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/21133856/california-disneyland-tickets.png,"與朋友協作完成關信用卡, 兔子羅傑的汽車信用卡, 乘坐列車進入信用卡",25,34,50,4,/Users/heng/Documents/money101_cal/roocash_data/article_514_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_514_content.txt
茨城景點推薦：精選 TOP5 美景、美食與交通資訊一次看懂,https://roo.cash/blog/ibaraki-article/,2025-05-18,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/18230156/Ibaraki-article.png,日本關東中部地區熱門打信用卡,11,18,19,11,/Users/heng/Documents/money101_cal/roocash_data/article_515_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_515_content.txt
佐賀景點推薦 TOP7：從歷史遺跡到自然奇觀，一次走進九州的靜謐風景,https://roo.cash/blog/saga-article/,2025-05-18,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/18225706/Saga-article.png,日本九州地區熱門打信用卡,4,19,3,11,/Users/heng/Documents/money101_cal/roocash_data/article_516_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_516_content.txt
嵐山景點推薦 TOP5：竹林小徑、渡月橋、湯豆腐美食一篇整理！,https://roo.cash/blog/arashiyama-article/,2025-05-18,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/18225153/Arashiyama-article.png,日本近畿地區熱門打信用卡,13,20,12,11,/Users/heng/Documents/money101_cal/roocash_data/article_517_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_517_content.txt
富士山景點推薦：從山腳走進日本人心中的聖山，附近景點、山腳下美食一次看！,https://roo.cash/blog/mount-fuji-article/,2025-05-18,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/18224648/Mount-Fuji-article.png,日本關東中部地區熱門打信用卡,11,18,13,11,/Users/heng/Documents/money101_cal/roocash_data/article_518_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_518_content.txt
箱根景點地圖： 7 大自然系景點、美食一篇包辦！,https://roo.cash/blog/hakone-article/,2025-05-18,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/18224147/Hakone-article.png,"日本關東中部地區熱門打信用卡, 湖邊的紅色鳥居更是拍照打信用卡",6,14,16,9,/Users/heng/Documents/money101_cal/roocash_data/article_519_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_519_content.txt
大阪美食推薦：10 大必吃經典店家，串炸、御好燒、蛋包飯都在這！,https://roo.cash/blog/osaka-food-article/,2025-05-18,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/18223242/Osaka-Food-article.png,日本近畿地區熱門打信用卡,14,21,13,11,/Users/heng/Documents/money101_cal/roocash_data/article_520_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_520_content.txt
日光景點推薦》日光櫻花季、交通、美食一次看！,https://roo.cash/blog/nikko-travel-guide/,2025-05-16,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/16120521/nikko-travel-guide.png,"日本關東中部地區熱門打信用卡, 是極受歡迎的打信用卡",17,23,19,11,/Users/heng/Documents/money101_cal/roocash_data/article_521_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_521_content.txt
御朱印帳是什麼？御朱印帳介紹、御朱印帳使用方法一次看！,https://roo.cash/blog/goshuin-introduction/,2025-05-16,"ROO 民生消費, 旅遊生活",https://blog-media-cdn.roo.cash/blog/wp-content/uploads/2025/05/16120439/goshuin-introduction.png,無提及信用卡,6,15,12,4,/Users/heng/Documents/money101_cal/roocash_data/article_522_tables.txt,/Users/heng/Documents/money101_cal/roocash_data/article_522_content.txt
